"Kerncijfers wijken en buurten 2016"
"Onderwerpen";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Oppervlakte";"Oppervlakte";"Oppervlakte";"Postcode";"Postcode";"Stedelijkheid";"Stedelijkheid"
"Grachtengordel-West";"Amsterdam";"Wijk";"WK036302";"3";"6475";"3415";"3060";"585";"840";"2215";"1820";"1030";"4195";"1725";"420";"150";"2050";"610";"10";"45";"70";"45";"445";".";".";".";".";"4200";"2660";"1030";"520";"1.5";"14469";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"57";"45";"12";".";".";"1";"10577"
"Langestraat e.o.";"Amsterdam";"Buurt";"BU03630200";"3";"1825";"960";"860";"180";"185";"580";"540";"350";"1100";"530";"145";"60";"520";"150";"5";"10";"20";"10";"110";".";".";".";".";"1165";"730";"290";"160";"1.6";"18774";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"10";"3";".";".";"1";"9605"
"Leliegracht e.o.";"Amsterdam";"Buurt";"BU03630201";"3";"1795";"935";"860";"175";"305";"620";"455";"255";"1235";"450";"100";"25";"615";"185";"0";"15";"20";"15";"145";".";".";".";".";"1160";"740";"285";"145";"1.5";"13210";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"17";"14";"4";".";".";"1";"10805"
"Felix Meritisbuurt";"Amsterdam";"Buurt";"BU03630202";"3";"2165";"1135";"1025";"180";"275";"780";"640";"305";"1425";"565";"140";"50";"715";"200";"5";"15";"25";"20";"140";".";".";".";".";"1405";"885";"350";"175";"1.5";"13441";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"20";"16";"4";".";".";"1";"11403"
"Leidsegracht Noord";"Amsterdam";"Buurt";"BU03630203";"3";"690";"380";"310";"55";"80";"250";"190";"125";"440";"190";"45";"25";"200";"75";"0";"5";"10";"5";"55";".";".";".";".";"465";"310";"110";"50";"1.5";"12940";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"5";"2";".";".";"1";"9665"
"Grachtengordel-Zuid";"Amsterdam";"Wijk";"WK036303";"3";"5440";"2960";"2480";"535";"680";"2095";"1360";"775";"3605";"1370";"350";"120";"1550";"625";"20";"35";"70";"70";"435";".";".";".";".";"3505";"2260";"785";"470";"1.5";"10476";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"64";"52";"12";".";".";"1";"9136"
"Spiegelbuurt";"Amsterdam";"Buurt";"BU03630300";"3";"820";"430";"390";"100";"75";"330";"210";"120";"535";"220";"55";"20";"260";"100";"5";"5";"10";"15";"70";".";".";".";".";"515";"330";"110";"85";"1.6";"10348";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"9";"8";"1";".";".";"1";"9194"
"Gouden Bocht";"Amsterdam";"Buurt";"BU03630301";"3";"155";"95";"55";"15";"30";"55";"35";"30";"105";"40";"15";"5";"40";"25";"0";"0";"0";"5";"20";".";".";".";".";"100";"65";"30";"10";"1.5";"3376";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"6";"5";"1";".";".";"1";"9437"
"Van Loonbuurt";"Amsterdam";"Buurt";"BU03630302";"3";"1430";"725";"705";"155";"175";"470";"385";"255";"860";"420";"115";"45";"365";"115";"5";"10";"20";"10";"70";".";".";".";".";"875";"530";"215";"140";"1.6";"11018";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"15";"13";"2";".";".";"1";"8978"
"Amstelveldbuurt";"Amsterdam";"Buurt";"BU03630303";"3";"1530";"820";"710";"170";"190";"490";"460";"235";"995";"415";"95";"35";"395";"150";"5";"10";"25";"20";"95";".";".";".";".";"980";"640";"205";"140";"1.6";"13843";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"15";"11";"4";".";".";"1";"9004"
"Rembrandtpleinbuurt";"Amsterdam";"Buurt";"BU03630304";"3";"515";"305";"210";"35";"60";"305";"85";"40";"400";"85";"35";"5";"180";"105";"5";"5";"5";"10";"85";".";".";".";".";"365";"260";"90";"25";"1.4";"8867";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"8";"6";"2";".";".";"1";"8692"
"Reguliersbuurt";"Amsterdam";"Buurt";"BU03630305";"3";"360";"215";"145";"25";"80";"205";"45";"15";"300";"50";"15";"5";"115";"85";"0";"5";"10";"5";"65";".";".";".";".";"260";"185";"60";"20";"1.4";"8892";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"5";"4";"1";".";".";"1";"9502"
"Leidsegracht Zuid";"Amsterdam";"Buurt";"BU03630306";"3";"620";"360";"260";"55";"75";"250";"155";"95";"425";"155";"40";"15";"200";"55";"0";"5";"10";"5";"35";".";".";".";".";"395";"260";"85";"60";"1.5";"11414";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"5";"1";".";".";"1";"9649"
"Nieuwmarkt/Lastage";"Amsterdam";"Wijk";"WK036304";"3";"9605";"4990";"4615";"810";"1200";"3200";"2960";"1450";"6380";"2080";"895";"260";"2490";"1280";"85";"80";"265";"75";"780";".";".";".";".";"6325";"4105";"1360";"865";"1.5";"13390";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"107";"72";"35";".";".";"1";"7025"
"Oosterdokseiland";"Amsterdam";"Buurt";"BU03630400";"3";"465";"270";"195";"60";"40";"205";"130";"45";"295";"120";"50";"10";"115";"120";"25";"5";"35";"5";"50";".";".";".";".";"260";"120";"100";"45";"1.8";"3590";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"24";"13";"11";".";".";"1";"5116"
"Scheepvaarthuisbuurt";"Amsterdam";"Buurt";"BU03630401";"3";"725";"355";"370";"60";"135";"260";"190";"95";"510";"160";"45";"20";"190";"40";"5";"5";"5";"5";"30";".";".";".";".";"475";"315";"105";"60";"1.5";"13611";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"11";"5";"5";".";".";"1";"6331"
"Rapenburg";"Amsterdam";"Buurt";"BU03630402";"3";"1015";"485";"525";"115";"250";"355";"240";"65";"745";"215";"50";"15";"355";"160";"10";"15";"25";"15";"100";".";".";".";".";"625";"370";"165";"100";"1.6";"10947";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"17";"9";"7";".";".";"1";"6075"
"Lastage";"Amsterdam";"Buurt";"BU03630403";"3";"1065";"555";"510";"100";"120";"400";"310";"150";"760";"220";"75";"20";"255";"110";"10";"10";"15";"10";"70";".";".";".";".";"695";"450";"155";"100";"1.5";"20267";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"8";"5";"3";".";".";"1";"6617"
"Nieuwmarkt";"Amsterdam";"Buurt";"BU03630404";"3";"1625";"785";"835";"145";"165";"420";"570";"340";"1025";"330";"210";"70";"390";"205";"10";"15";"60";"5";"120";".";".";".";".";"1050";"710";"170";"175";"1.5";"27328";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"6";"1";".";".";"1";"7328"
"Uilenburg";"Amsterdam";"Buurt";"BU03630405";"3";"1140";"595";"540";"75";"95";"445";"390";"150";"755";"260";"100";"30";"290";"200";"10";"10";"35";"15";"135";".";".";".";".";"780";"510";"195";"85";"1.5";"14207";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"11";"8";"3";".";".";"1";"6625"
"Valkenburg";"Amsterdam";"Buurt";"BU03630406";"3";"1160";"580";"575";"110";"130";"325";"365";"235";"695";"305";"125";"45";"315";"140";"5";"5";"35";"10";"90";".";".";".";".";"775";"520";"145";"110";"1.5";"17102";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"7";"1";".";".";"1";"6971"
"Zuiderkerkbuurt";"Amsterdam";"Buurt";"BU03630407";"3";"1510";"860";"645";"85";"180";"485";"510";"260";"1000";"315";"160";"45";"355";"195";"10";"15";"35";"15";"120";".";".";".";".";"1045";"720";"210";"125";"1.4";"22212";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"9";"7";"2";".";".";"1";"8258"
"Waterloopleinbuurt";"Amsterdam";"Buurt";"BU03630408";"3";"890";"485";"400";"75";"95";"325";"275";"130";"615";"170";"95";"20";"230";"115";"10";"5";"30";"5";"70";".";".";".";".";"605";"410";"125";"75";"1.5";"7926";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"13";"11";"2";".";".";"1";"7985"
"Haarlemmerbuurt";"Amsterdam";"Wijk";"WK036305";"3";"9305";"4705";"4600";"1080";"820";"3155";"2930";"1330";"5925";"2285";"865";"245";"2145";"1490";"195";"75";"365";"80";"780";".";".";".";".";"5680";"3420";"1240";"1030";"1.6";"17007";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"81";"55";"27";".";".";"1";"7982"
"Westerdokseiland";"Amsterdam";"Buurt";"BU03630500";"3";"1955";"1025";"930";"315";"130";"645";"570";"305";"1135";"615";"165";"50";"425";"440";"55";"20";"145";"30";"200";".";".";".";".";"1015";"450";"320";"255";"1.9";"12149";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"34";"16";"18";".";".";"1";"6355"
"Haarlemmerbuurt Oost";"Amsterdam";"Buurt";"BU03630501";"3";"1480";"725";"755";"140";"130";"545";"470";"210";"990";"315";"140";"45";"360";"170";"20";"5";"40";"5";"110";".";".";".";".";"1005";"700";"180";"135";"1.5";"15920";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"10";"9";"1";".";".";"1";"8186"
"Haarlemmerbuurt West";"Amsterdam";"Buurt";"BU03630502";"3";"2480";"1280";"1195";"265";"255";"835";"765";"380";"1585";"570";"245";"90";"560";"420";"75";"25";"90";"30";"210";".";".";".";".";"1490";"900";"320";"275";"1.6";"22684";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"11";"1";".";".";"1";"9456"
"Westelijke eilanden";"Amsterdam";"Buurt";"BU03630503";"3";"2875";"1410";"1460";"325";"285";"895";"980";"400";"1830";"725";"270";"60";"670";"370";"45";"20";"70";"15";"220";".";".";".";".";"1785";"1100";"370";"325";"1.6";"18833";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"22";"15";"6";".";".";"1";"7378"
"Planciusbuurt Noord";"Amsterdam";"Buurt";"BU03630505";"3";"345";"170";"175";"30";"20";"200";"80";"20";"285";"35";"25";"5";"105";"55";"5";"10";"15";"5";"30";".";".";".";".";"245";"180";"40";"30";"1.4";"18966";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2";"2";"1";".";".";"1";"8445"
"Planciusbuurt Zuid";"Amsterdam";"Buurt";"BU03630506";"3";"165";"85";"75";"15";"10";"45";"75";"25";"110";"30";"25";"5";"30";"35";"5";"5";"10";"0";"20";".";".";".";".";"125";"105";"15";"15";"1.3";"12941";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2";"1";"0";".";".";"1";"8718"
"Jordaan";"Amsterdam";"Wijk";"WK036306";"3";"19390";"9795";"9590";"1835";"1870";"7195";"5615";"2885";"13295";"3865";"1760";"485";"4680";"2405";"290";"170";"435";"175";"1340";".";".";".";".";"13025";"8750";"2525";"1765";"1.5";"23232";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"95";"83";"11";".";".";"1";"11270"
"Driehoekbuurt";"Amsterdam";"Buurt";"BU03630600";"3";"2755";"1360";"1395";"260";"260";"1130";"760";"360";"1945";"535";"230";"55";"645";"310";"25";"20";"55";"20";"195";".";".";".";".";"1885";"1275";"375";"245";"1.5";"28028";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"11";"10";"1";".";".";"1";"10640"
"Bloemgrachtbuurt";"Amsterdam";"Buurt";"BU03630602";"3";"3000";"1500";"1495";"330";"320";"1095";"815";"455";"2040";"635";"270";"65";"780";"340";"30";"30";"50";"35";"195";".";".";".";".";"1915";"1220";"415";"285";"1.6";"26396";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"13";"11";"1";".";".";"1";"11759"
"Marnixbuurt Noord";"Amsterdam";"Buurt";"BU03630603";"3";"1480";"745";"730";"140";"125";"550";"435";"240";"955";"345";"145";"45";"310";"280";"50";"15";"65";"25";"130";".";".";".";".";"980";"640";"200";"150";"1.5";"26796";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"6";"2";".";".";"1";"10774"
"Zaagpoortbuurt";"Amsterdam";"Buurt";"BU03630604";"3";"840";"470";"370";"50";"130";"430";"185";"60";"690";"80";"70";"10";"210";"160";"20";"10";"45";"5";"80";".";".";".";".";"675";"555";"85";"45";"1.2";"23993";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"4";"4";"0";".";".";"1";"12225"
"Marnixbuurt Midden";"Amsterdam";"Buurt";"BU03630605";"3";"200";"100";"95";"20";"30";"120";"35";"10";"155";"40";"10";"0";"50";"30";"5";"0";"10";"0";"15";".";".";".";".";"120";"65";"45";"20";"1.6";"12958";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2";"2";"1";".";".";"1";"11741"
"Elandsgrachtbuurt";"Amsterdam";"Buurt";"BU03630606";"3";"4305";"2165";"2140";"375";"445";"1570";"1285";"640";"2900";"890";"415";"110";"1085";"550";"75";"45";"95";"55";"285";".";".";".";".";"2915";"1970";"570";"380";"1.5";"22812";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"21";"19";"2";".";".";"1";"11462"
"Passeerdersgrachtbuurt";"Amsterdam";"Buurt";"BU03630607";"3";"900";"470";"425";"85";"60";"325";"280";"165";"620";"175";"85";"30";"245";"100";"10";"10";"15";"10";"55";".";".";".";".";"605";"415";"125";"75";"1.5";"19674";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"5";"5";"1";".";".";"1";"9961"
"Groenmarktkadebuurt";"Amsterdam";"Buurt";"BU03630608";"3";"190";"95";"95";"15";"30";"100";"40";"20";"150";"25";"15";"10";"50";"20";"5";"5";"5";"0";"15";".";".";".";".";"130";"85";"35";"15";"1.4";"5342";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"5";"4";"1";".";".";"1";"11733"
"Marnixbuurt Zuid";"Amsterdam";"Buurt";"BU03630609";"3";"620";"340";"275";"40";"45";"260";"140";"150";"405";"105";"70";"50";"175";"85";"10";"5";"15";"5";"55";".";".";".";".";"465";"370";"75";"30";"1.3";"15091";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"5";"4";"1";".";".";"1";"10978"
"Anjeliersbuurt Noord";"Amsterdam";"Buurt";"BU03630610";"3";"2155";"1075";"1075";"250";"215";"710";"650";"340";"1455";"460";"190";"60";"475";"195";"25";"10";"25";"10";"125";".";".";".";".";"1350";"840";"275";"240";"1.6";"22785";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"10";"9";"0";".";".";"1";"10886"
"Anjeliersbuurt Zuid";"Amsterdam";"Buurt";"BU03630611";"3";"2930";"1450";"1475";"295";"235";"925";"1025";"465";"2000";"590";"280";"65";"675";"350";"45";"25";"70";"15";"200";".";".";".";".";"1965";"1330";"345";"295";"1.5";"26499";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"11";"1";".";".";"1";"11682"
"De Weteringschans";"Amsterdam";"Wijk";"WK036307";"3";"7340";"3775";"3565";"745";"940";"3025";"1760";"885";"5080";"1670";"460";"140";"1970";"825";"45";"60";"115";"80";"535";".";".";".";".";"4720";"3025";"1075";"630";"1.6";"13205";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"65";"56";"9";".";".";"1";"9399"
"Leidsebuurt Noordwest";"Amsterdam";"Buurt";"BU03630700";"3";"265";"140";"125";"10";"30";"160";"55";"25";"210";"50";"15";"5";"75";"40";"0";"5";"0";"5";"30";".";".";".";".";"205";"160";"45";"10";"1.3";"10758";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"3";"3";"0";".";".";"1";"9258"
"Leidsebuurt Zuidwest";"Amsterdam";"Buurt";"BU03630701";"3";"150";"70";"75";"10";"30";"70";"35";"15";"115";"25";"15";"5";"55";"20";"5";"0";"5";"0";"15";".";".";".";".";"110";"85";"20";"15";"1.4";"5598";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"3";"3";"1";".";".";"1";"9504"
"Leidsebuurt Noordoost";"Amsterdam";"Buurt";"BU03630702";"3";"965";"510";"450";"50";"215";"490";"150";"75";"775";"130";"55";"15";"270";"150";"10";"10";"20";"15";"100";".";".";".";".";"685";"480";"170";"45";"1.4";"17956";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"6";"5";"1";".";".";"1";"9131"
